iter	Passed	Remaining
0	0	905
1	1	843
2	2	808
3	3	796
4	3	785
5	4	771
6	5	768
7	6	764
8	6	761
9	7	758
10	8	756
11	9	753
12	9	751
13	10	749
14	11	746
15	12	744
16	12	741
17	13	739
18	14	737
19	15	735
20	15	734
21	16	731
22	17	730
23	17	728
24	18	727
25	19	726
26	20	726
27	20	725
28	21	724
29	22	723
30	23	722
31	23	721
32	24	720
33	25	719
34	26	718
35	26	717
36	27	716
37	28	715
38	28	714
39	29	713
40	30	713
41	31	711
42	31	710
43	32	710
44	33	709
45	34	709
46	34	709
47	35	709
48	36	708
49	37	706
50	37	706
51	38	705
52	39	704
53	40	702
54	40	701
55	41	700
56	42	699
57	43	698
58	43	697
59	44	696
60	45	695
61	45	694
62	46	693
63	47	693
64	48	692
65	48	692
66	49	692
67	50	691
68	51	691
69	51	690
70	52	689
71	53	688
72	54	687
73	54	686
74	55	685
75	56	684
76	57	684
77	57	684
78	58	683
79	59	682
80	60	681
81	60	680
82	61	680
83	62	678
84	63	678
85	63	677
86	64	676
87	65	675
88	65	675
89	66	674
90	67	673
91	68	672
92	68	671
93	69	670
94	70	669
95	71	668
96	71	667
97	72	667
98	73	666
99	73	665
100	74	665
101	75	664
102	76	663
103	76	662
104	77	662
105	78	661
106	79	660
107	79	659
108	80	659
109	81	658
110	82	657
111	82	656
112	83	656
113	84	655
114	85	654
115	85	653
116	86	652
117	87	651
118	87	651
119	88	650
120	89	650
121	90	649
122	90	648
123	91	647
124	92	647
125	93	646
126	94	646
127	94	645
128	95	644
129	96	643
130	96	643
131	97	642
132	98	642
133	99	641
134	99	640
135	100	639
136	101	639
137	102	639
138	103	638
139	103	637
140	104	636
141	105	635
142	105	634
143	106	634
144	107	633
145	108	632
146	108	632
147	109	631
148	110	631
149	111	630
150	112	630
151	112	629
152	113	628
153	114	628
154	115	627
155	115	627
156	116	626
157	117	625
158	118	625
159	119	625
160	119	624
161	120	623
162	121	623
163	122	622
164	122	621
165	123	621
166	124	620
167	125	619
168	125	619
169	126	618
170	127	618
171	128	617
172	129	616
173	129	615
174	130	615
175	131	614
176	132	613
177	132	613
178	133	612
179	134	611
180	135	610
181	135	610
182	136	609
183	137	608
